patRIL	chamber	Pre	Learning	Memory	file
11009	11	-0.03333	0.8311	1.000	2.hbx
11009	12	-1.000	0.9411	1.000	2.hbx
11009	14	-0.6267	0.9556	1.000	2.hbx
11009	0	-0.2333	0.9761	1.000	3.hbx
11009	2	-1.000	0.9500	1.000	3.hbx
11009	6	1.000	0.9733	1.000	3.hbx
11009	7	-1.000	0.8717	-0.2278	3.hbx
11009	10	-1.000	0.9667	1.000	3.hbx
11009	11	0.2133	0.9800	1.000	3.hbx
11009	12	-0.7667	0.4922	0.1089	3.hbx
11009	14	-0.9667	0.9383	0.4711	3.hbx
11009	15	-0.2467	0.9661	0.7467	3.hbx
11009	0	-1.000	0.9167	1.000	4.hbx
11009	1	0.8933	0.9956	0.01667	4.hbx
11009	2	0.2533	0.9522	1.000	4.hbx
11009	0	0.2067	0.9106	1.000	5.hbx
11009	1	0.4267	0.8778	1.000	5.hbx
11009	2	-0.1200	0.8972	1.000	5.hbx
11009	4	-0.5800	0.8844	1.000	5.hbx
11009	6	-0.3933	0.9367	1.000	5.hbx
11009	7	-0.7800	0.7239	-0.003333	5.hbx
11009	8	-0.06000	0.8328	0.03333	5.hbx
11009	10	1.000	0.8839	1.000	5.hbx
11009	11	0.1533	0.8794	1.000	5.hbx
11009	12	0.3133	0.8561	1.000	5.hbx
11009	0	0.08667	0.8006	-0.3944	6.hbx
11009	2	-1.000	0.9617	1.000	6.hbx
11009	6	-1.000	0.9778	1.000	6.hbx
11009	7	-0.4533	0.9522	0.9222	6.hbx
11009	8	-0.5800	0.8911	-0.3422	6.hbx
11009	10	-0.5933	0.9506	1.000	6.hbx
11009	11	-0.1467	0.8378	1.000	6.hbx
11009	15	-1.000	0.9628	1.000	6.hbx
11009	0	-0.2000	0.7861	-0.03556	7.hbx
11009	2	0.1533	0.8183	1.000	7.hbx
11009	4	-0.06667	0.8039	-0.03667	7.hbx
11009	6	1.000	0.2983	1.000	7.hbx
11009	8	0.2933	0.8633	0.08111	7.hbx
11009	9	-0.1133	0.7300	1.000	7.hbx
11009	11	0.3800	0.8794	0.4300	7.hbx
11009	14	0.3400	0.8683	0.9233	7.hbx
11009	15	0.1467	0.8922	0.6589	7.hbx
11009	0	-0.2200	0.8172	0.3278	8.hbx
11009	2	0.3733	0.9050	0.9933	8.hbx
11009	4	0.3800	0.8889	-0.2022	8.hbx
11009	6	1.000	0.8361	-0.6044	8.hbx
11009	8	0.006667	0.9711	0.3278	8.hbx
11009	9	-0.02667	0.9322	1.000	8.hbx
11009	11	0.01333	0.8472	0.5022	8.hbx
11009	14	-0.08667	0.9183	1.000	8.hbx
11009	15	0.7267	0.9372	1.000	8.hbx
11010	1	0.6133	0.9744	0.7933	11010_001A_6min.hbx
11010	2	-0.4667	0.9406	0.3500	11010_001A_6min.hbx
11010	6	-1.000	0.9294	-0.7289	11010_001A_6min.hbx
11010	7	-0.06000	0.7567	1.000	11010_001A_6min.hbx
11010	8	1.000	0.9956	-0.04667	11010_001A_6min.hbx
11010	9	0.4400	0.5906	0.2589	11010_001A_6min.hbx
11010	10	-0.1667	0.7256	0.3300	11010_001A_6min.hbx
11010	12	-0.5200	0.7989	0.1122	11010_001A_6min.hbx
11010	14	1.000	0.7761	0.6689	11010_001A_6min.hbx
11010	15	0.5200	0.7922	1.000	11010_001A_6min.hbx
11010	0	-0.1000	0.7744	0.5589	11010_001B_6min.hbx
11010	1	-0.2533	0.4978	0.09556	11010_001B_6min.hbx
11010	2	-0.3333	0.8328	-0.1267	11010_001B_6min.hbx
11010	4	-1.000	0.9756	1.000	11010_001B_6min.hbx
11010	6	0.1133	0.8556	-0.8689	11010_001B_6min.hbx
11010	7	1.000	0.9961	1.000	11010_001B_6min.hbx
11010	11	-0.2467	0.7617	1.000	11010_001B_6min.hbx
11010	14	-1.000	0.6756	-0.7311	11010_001B_6min.hbx
11010	1	0.3467	0.9411	1.000	11010_002A_6min.hbx
11010	2	0.3600	0.9811	1.000	11010_002A_6min.hbx
11010	4	0.1400	0.9189	1.000	11010_002A_6min.hbx
11010	7	1.000	0.8656	-0.03556	11010_002A_6min.hbx
11010	11	0.08000	0.7850	0.4344	11010_002A_6min.hbx
11010	14	0.7333	0.8994	-0.08000	11010_002A_6min.hbx
11010	15	0.4933	0.8094	0.5244	11010_002A_6min.hbx
